county; address; city; zip; sale_date; price
San Francisco County; 421 Oak Street; San Francisco; 94102; 1/8/2016; $2,400,000
San Francisco County; 1400 Mission Street #1107; San Francisco; 94103; 1/8/2016; $269,000
San Francisco County; 1400 Mission Street #814; San Francisco; 94103; 1/8/2016; $301,500
San Francisco County; 333 Beale Street #5A; San Francisco; 94105; 1/8/2016; $1,049,000
San Francisco County; 333 Beale Street #8F; San Francisco; 94105; 1/8/2016; $1,195,000
San Francisco County; 338 Main Street #3B; San Francisco; 94105; 1/8/2016; $1,475,000
San Francisco County; 355 1st Street #1702; San Francisco; 94105; 1/8/2016; $1,570,000
San Francisco County; 338 Main Street #3A; San Francisco; 94105; 1/8/2016; $1,675,000
San Francisco County; 88 King Street #103; San Francisco; 94107; 1/8/2016; $1,370,000
San Francisco County; 1240 Jones Street; San Francisco; 94109; 1/8/2016; $2,800,000
San Francisco County; 2711 18th Street #25; San Francisco; 94110; 1/8/2016; $750,000
San Francisco County; 72 Crescent Avenue; San Francisco; 94110; 1/8/2016; $1,625,000
San Francisco County; 1316 Guerrero Street; San Francisco; 94110; 1/8/2016; $1,706,000
San Francisco County; 3532 23rd Street; San Francisco; 94110; 1/8/2016; $1,900,000
San Francisco County; 1406 Golden Gate Avenue; San Francisco; 94115; 1/8/2016; $1,200,000
San Francisco County; 1529 Golden Gate Avenue; San Francisco; 94115; 1/8/2016; $1,950,000
San Francisco County; 1833 Laguna Street; San Francisco; 94115; 1/8/2016; $5,500,000
San Francisco County; 644 Steiner Street; San Francisco; 94117; 1/8/2016; $500,000
San Francisco County; 1576 Waller Street; San Francisco; 94117; 1/8/2016; $1,495,000
San Francisco County; 1558 45th Avenue; San Francisco; 94122; 1/8/2016; $930,000
San Francisco County; 1408 31st Avenue #403; San Francisco; 94122; 1/8/2016; $1,200,000
San Francisco County; 2165 Revere Avenue; San Francisco; 94124; 1/8/2016; $1,040,000
San Francisco County; 192 Yerba Buena Avenue; San Francisco; 94127; 1/8/2016; $1,915,000
San Francisco County; 195 St. Elmo Way; San Francisco; 94127; 1/8/2016; $2,425,000
San Francisco County; 95 Red Rock Way #303M; San Francisco; 94131; 1/8/2016; $530,000
San Francisco County; 351 27th Street; San Francisco; 94131; 1/8/2016; $970,000
San Francisco County; 270 Bright Street; San Francisco; 94132; 1/8/2016; $750,000
San Francisco County; 718 Long Bridge Street #423; San Francisco; 94158; 1/8/2016; $855,000
San Francisco County; 718 Long Bridge Street #400; San Francisco; 94158; 1/8/2016; $1,099,000
San Francisco County; 718 Long Bridge Street #1501; San Francisco; 94158; 1/8/2016; $1,419,500
San Francisco County; 738 Long Bridge Street #1106; San Francisco; 94158; 1/8/2016; $1,759,500
San Francisco County; 81 Frank Norris Street #504; San Francisco; 94109; 1/8/2016; $718,000
San Francisco County; 718 Long Bridge Street #1605; San Francisco; 94158; 1/8/2016; $1,967,500
San Francisco County; 738 Long Bridge Street #1309; San Francisco; 94158; 1/8/2016; $2,234,500
San Francisco County; 1139 B Green Street; San Francisco; 94109; 1/7/2016; $1,710,000
San Francisco County; 718 Long Bridge Street #603; San Francisco; 94158; 1/7/2016; $1,772,500
San Francisco County; 718 Long Bridge Street #420; San Francisco; 94158; 1/7/2016; $1,833,000
San Francisco County; 738 Long Bridge Street #1211; San Francisco; 94158; 1/7/2016; $1,112,000
San Francisco County; 738 Long Bridge Street #1411; San Francisco; 94158; 1/7/2016; $1,181,500
San Francisco County; 738 Long Bridge Street #517; San Francisco; 94158; 1/7/2016; $1,316,000
San Francisco County; 157 Summit Way; San Francisco; 94132; 1/7/2016; $1,418,000
San Francisco County; 133 Richardson Avenue; San Francisco; 94123; 1/7/2016; $2,080,000
San Francisco County; 3315 Pierce Street; San Francisco; 94123; 1/7/2016; $2,500,000
San Francisco County; 930 Ashbury Street; San Francisco; 94117; 1/7/2016; $2,278,000
San Francisco County; 131 10th Avenue; San Francisco; 94118; 1/7/2016; $2,925,000
San Francisco County; 1954 46th Avenue; San Francisco; 94116; 1/7/2016; $875,000
San Francisco County; 1972 11th Avenue; San Francisco; 94116; 1/7/2016; $1,617,000
San Francisco County; 62 Encanto Avenue; San Francisco; 94115; 1/7/2016; $850,000
San Francisco County; 260 King Street #605; San Francisco; 94107; 1/7/2016; $1,475,000
San Francisco County; 338 Main Street #4B; San Francisco; 94105; 1/7/2016; $1,345,000
San Francisco County; 1097 Howard Street #303; San Francisco; 94103; 1/7/2016; $975,000
San Francisco County; 1400 Mission Street #210; San Francisco; 94103; 1/7/2016; $226,000
San Francisco County; 1400 Mission Street #1105; San Francisco; 94103; 1/7/2016; $268,500
San Francisco County; 1400 Mission Street #1206; San Francisco; 94103; 1/7/2016; $269,000
San Francisco County; 738 Long Bridge Street #1207; San Francisco; 94158; 1/6/2016; $1,871,000
San Francisco County; 738 Long Bridge Street #1209; San Francisco; 94158; 1/6/2016; $2,272,500
San Francisco County; 718 Long Bridge Street #303; San Francisco; 94158; 1/6/2016; $1,137,000
San Francisco County; 333 Beale Street #2E; San Francisco; 94105; 1/6/2016; $1,595,000
San Francisco County; 260 King Street #1009; San Francisco; 94107; 1/6/2016; $750,000
San Francisco County; 77 Dow Place #500; San Francisco; 94107; 1/6/2016; $968,000
San Francisco County; 701 Pennsylvania Avenue #IT5; San Francisco; 94107; 1/6/2016; $995,000
San Francisco County; 728 Alabama Street #105; San Francisco; 94110; 1/6/2016; $655,000
San Francisco County; 679 San Jose Avenue; San Francisco; 94110; 1/6/2016; $1,220,000
San Francisco County; 50 Roscoe Street; San Francisco; 94110; 1/6/2016; $1,735,000
San Francisco County; 14 Stoneyford Avenue; San Francisco; 94112; 1/6/2016; $650,000
San Francisco County; 324 Hanover Street; San Francisco; 94112; 1/6/2016; $700,000
San Francisco County; 933 Noe Street; San Francisco; 94114; 1/6/2016; $2,175,000
San Francisco County; 1760 Ofarrell Street #18; San Francisco; 94115; 1/6/2016; $838,000
San Francisco County; 811 40th Avenue; San Francisco; 94121; 1/6/2016; $880,000
San Francisco County; 3239 Steiner Street; San Francisco; 94123; 1/6/2016; $450,000
San Francisco County; 601 Van Ness Avenue #201; San Francisco; 94102; 1/6/2016; $555,000
San Francisco County; 333 Potrero Avenue; San Francisco; 94103; 1/6/2016; $1,138,000
San Francisco County; 938 Market Street; San Francisco; 94102; 1/5/2016; $760,000
San Francisco County; 2223 44th Avenue; San Francisco; 94116; 1/5/2016; $1,325,000
San Francisco County; 739 48th Avenue; San Francisco; 94121; 1/5/2016; $945,000
San Francisco County; 1389 21st Avenue #1391; San Francisco; 94122; 1/5/2016; $892,000
San Francisco County; 1626 32nd Avenue; San Francisco; 94122; 1/5/2016; $1,425,000
San Francisco County; 1387 14th Avenue; San Francisco; 94122; 1/5/2016; $1,655,000
San Francisco County; 1271 21st Avenue; San Francisco; 94122; 1/5/2016; $1,850,000
San Francisco County; 1765 15th Avenue; San Francisco; 94122; 1/5/2016; $2,250,000
San Francisco County; 1243 Quesada Avenue; San Francisco; 94124; 1/5/2016; $610,000
San Francisco County; 423 28th Street #201; San Francisco; 94131; 1/5/2016; $1,589,000
San Francisco County; 8200 Oceanview Terrace #204; San Francisco; 94132; 1/5/2016; $510,000
San Francisco County; 718 Long Bridge Street #322; San Francisco; 94158; 1/5/2016; $986,000
San Francisco County; 738 Long Bridge Street #1111; San Francisco; 94158; 1/5/2016; $1,127,000
San Francisco County; 7 Lee Avenue; San Francisco; 94112; 1/5/2016; $1,100,000
San Francisco County; 310 Carolina Street #301; San Francisco; 94107; 1/5/2016; $1,129,000
San Francisco County; 72 Townsend Street #412; San Francisco; 94107; 1/5/2016; $1,147,000
San Francisco County; 632 Mississippi Street; San Francisco; 94107; 1/5/2016; $1,420,000
San Francisco County; 200 Brannan Street #413; San Francisco; 94107; 1/5/2016; $995,000
San Francisco County; 738 Long Bridge Street #809; San Francisco; 94158; 1/5/2016; $1,177,000
San Francisco County; 738 Long Bridge Street #1110; San Francisco; 94158; 1/5/2016; $1,684,000
San Francisco County; 718 Long Bridge Street #1401; San Francisco; 94158; 1/4/2016; $1,382,500
San Francisco County; 718 Long Bridge Street #320; San Francisco; 94158; 1/4/2016; $1,909,000
San Francisco County; 54 Marston Avenue; San Francisco; 94112; 1/4/2016; $1,650,000
San Francisco County; 2151 Laguna Street #2; San Francisco; 94115; 1/4/2016; $4,500,000
San Francisco County; 851 South Van Ness Avenue #104; San Francisco; 94110; 1/4/2016; $641,000
San Francisco County; 304 Gold Mine Drive; San Francisco; 94131; 1/4/2016; $1,651,000
San Francisco County; 28 Williams Avenue; San Francisco; 94124; 1/4/2016; $660,000
San Francisco County; 333 Beale Street #2C; San Francisco; 94105; 1/4/2016; $1,095,000
San Francisco County; 3045 22nd Avenue; San Francisco; 94132; 12/31/2015; $1,170,000
San Francisco County; 114 Clearfield Drive; San Francisco; 94132; 12/31/2015; $1,350,000
San Francisco County; 1070 Green Street #1402; San Francisco; 94133; 12/31/2015; $2,600,000
San Francisco County; 3738 Irving Street; San Francisco; 94122; 12/31/2015; $1,300,000
San Francisco County; 19 Bridgeview Drive; San Francisco; 94124; 12/31/2015; $640,000
San Francisco County; 446 Chenery Street; San Francisco; 94131; 12/31/2015; $1,064,000
San Francisco County; 1 Crescent Way #1402; San Francisco; 94134; 12/31/2015; $660,000
San Francisco County; 767 Pine Street; San Francisco; 94108; 12/31/2015; $2,488,000
San Francisco County; 718 Long Bridge Street #1303; San Francisco; 94158; 12/31/2015; $2,341,000
San Francisco County; 738 Long Bridge Street #618; San Francisco; 94158; 12/31/2015; $1,325,000
San Francisco County; 300 Gough Street #201; San Francisco; 94102; 12/31/2015; $1,135,000
San Francisco County; 180 7th Street #408; San Francisco; 94103; 12/31/2015; $550,000
